id,name,r,g,b
875,Pine Light,165,193,168
876,Pine,89,118,90
877,Pine Medium,52,94,74
878,Pine Medium Dark,29,66,48
879,Pine Dark,12,59,39
880,Copper Light,221,185,161
881,Copper,234,185,155
882,Copper Medium Light,220,148,123
883,Copper Medium,181,101,68
884,Copper Dark,143,64,33
885,Sand Stone Light,215,191,147
886,Sand Stone,193,169,104
887,Sand Stone Medium Light,187,158,98
888,Sand Stone Medium Dark,132,95,42
889,Sand Stone Dark,99,56,22
890,Brass Light,194,128,52
891,Brass,236,184,100
892,Rose Wine Light,238,206,193
893,Rose Wine,213,156,149
894,Rose Wine Medium Light,197,128,123
895,Rose Wine Medium,170,93,87
896,Rose Wine Dark,112,46,34
897,Rose Wine Very Dark,80,12,3
898,Sierra,94,76,38
899,Tawny Light,145,127,115
900,Pewter Light,163,159,156
901,Tawny Medium,151,89,0
903,Tawny Medium Dark,94,73,56
904,Mocha Brown Dark,70,56,45
905,Tawny Dark,44,31,23
906,Brass Dark,70,41,7
907,Saffron Dark,179,124,34
914,Flesh Medium Dark,170,106,71
920,Denim Light,119,138,145
921,Denim Medium,79,97,101
922,Denim Dark,53,76,84
923,Emerald Very Dark,3,58,16
924,Olive Green Very Dark,78,68,6
925,Tangerine,219,75,22
926,Ecru Very Light,244,223,202
928,Larkspur Light,160,209,205
933,Fawn Very Light,210,168,154
936,Fawn Very Dark,97,46,29
939,Stormy Blue Medium,97,107,132
940,Stormy Blue Dark,51,59,96
941,Stormy Blue Very Dark,32,35,71
942,Wheat Light,216,179,134
943,Wheat,154,122,61
944,Wheat Dark,99,60,3
945,Harvest,167,146,79
968,Wineberry Light,222,164,163
969,Wineberry,173,112,119
970,Wineberry Medium Dark,113,53,63
972,Wineberry Dark,97,31,43
975,Sea Blue Light,205,223,223
976,Sea Blue Medkum Light,157,181,185
977,Sea Blue,101,131,157
978,Sea Blue Medium Dark,73,94,125
979,Sea Blue Dark,52,79,98
1001,Antique Gold,176,96,25
1002,Antique Gold Light,209,123,46
1003,Amberglow,195,95,33
1004,Apricot Very Dark,140,51,11
1005,Cherry Red Medium,132,0,1
1006,Cherry Red,144,2,0
1007,Chicory Dark,141,69,47
1008,Chicory,200,135,107
1009,Copper Very Light,248,216,186
1010,Cinnamon Very Light,246,199,173
1011,Flesh Very Light,238,196,171
1012,Chicory Light,239,187,165
1013,Brick,193,98,80
1014,Brick Very Dark,129,23,7
1015,Brick Dark,118,21,15
1016,Antique Mauve Light,202,149,165
1017,Antique Mauve Very Dark,166,109,118
1018,Antique Mauve,117,67,66
1019,Antique Mauve Dark,107,45,48
1020,Peony Very Light,229,177,181
1021,Peony Light,226,158,149
1022,Peony Medium Light,208,122,109
1023,Peony,190,102,95
1024,Peony Medium,175,70,67
1025,Peony Medium Dark,149,30,26
1026,Wineberry Very Light,213,173,161
1027,Rose Wine Medium Dark,140,63,57
1028,Raspberry Medium Dark,94,3,34
1029,Antique Rose Dark,98,13,52
1030,Thistle Medium Dark,109,96,152
1031,Antique Blue Light,198,214,227
1032,Antique Blue Very Light,184,203,209
1033,Antique Blue,159,167,178
1034,Antique Blue Medium,84,98,111
1035,Antique Blue Dark,48,54,78
1036,Antique Blue Very Dark,26,43,71
1037,Sea Blue Very Light,207,220,229
1038,Glacier Blue Medium,131,173,195
1039,Glacier Blue Medium Dark,90,136,159
1040,Pewter Medium,130,126,123
1041,Stone Gray Very Dark,50,44,46
1042,Pine Very Light,210,230,195
1043,Grass Green Very Light,206,224,182
1044,Grass Green Dark,33,49,22
1045,Toast Light,160,112,66
1046,Toast,124,74,23
1047,Cinnamon Light,222,121,39
1048,Cinnamon Medium,177,81,23
1049,Cinnamon,139,61,13
1050,Tawny Medium Dark,73,41,3
1060,Teal Ultra Light,187,218,212
1062,Teal Very Light,127,157,165
1064,Teal Light,105,142,158
